62.97777: 'redbull1',
55.39538: 'redbull2',
76.29196: 'ferrari1',
68.77377: 'ferrari2',
89.54225: 'mclaren1',
82.02376: 'mclaren2',
103.52676: 'lotus1',
95.53798: 'lotus2',
117.29433: 'mercedes1',
109.61693: 'mercedes2',
130.43655: 'sauber1',
122.97397: 'sauber2',
143.60118: 'force1',
136.12672: 'force2',
156.79579: 'wilians1',
149.31075: 'wilians2',
170.02161: 'tororosso1',
162.50873: 'tororosso2',
183.27376: 'cartheran1',
175.74965: 'cartheran2',
196.74416: 'marrusia1',
189.10722: 'marrusia2',
